=== Training config ===
  algo=random  init=random  gens=200  popsize=48
  cpus=16  node=p1cmp019.pax.tufts.edu
  outdir=/cluster/home/dparri03/robotics/LBS-1a/sim/results/20260422_005700/random_random_200
  workdir=/tmp/tmp.y2W5AyBFuL
  started=Wed Apr 22 03:29:56 EDT 2026

Random search (105 params, popsize=48, gens=200, 5 cycles/eval)
  workers: 15
  swing_RL      FL(+40.9, -37.7)  FR(+44.1, -39.6)  RL(+41.2, -62.0)  RR(+29.7, -39.7)
  plant_RL      FL(+19.0, -91.7)  FR(+28.0, -26.9)  RL(+44.4, -31.1)  RR(+45.0, -34.5)
  shift_FL      FL( +9.5, -60.7)  FR(+47.1, -45.8)  RL(+53.3, -49.8)  RR(+23.0, -45.0)
  swing_FL      FL(+42.7, -30.2)  FR(+31.5, -88.2)  RL( +6.2, -31.5)  RR(+29.5, -56.5)
  plant_FL      FL( +8.2, -64.0)  FR(+43.5, -75.1)  RL(+43.3, -61.9)  RR(+29.8, -28.3)
  shift_RR      FL(+33.4, -69.9)  FR(+13.6, -41.7)  RL(+28.5, -75.0)  RR(+48.1, -63.4)
  swing_RR      FL(+30.2, -38.8)  FR(+53.9, -61.3)  RL(+26.2, -48.6)  RR(+54.4, -37.2)
  plant_RR      FL(+52.3, -58.8)  FR(+14.0, -37.0)  RL(+31.5, -45.1)  RR(+34.1, -34.5)
Saved to best_gait_rand_random.json

=== Moving results to /cluster/home/dparri03/robotics/LBS-1a/sim/results/20260422_005700/random_random_200 ===
‘best_gait_rand_random.json’ -> ‘/cluster/home/dparri03/robotics/LBS-1a/sim/results/20260422_005700/random_random_200/best_gait_rand_random.json’
removed ‘best_gait_rand_random.json’
‘tune_gait_rand_random.jsonl’ -> ‘/cluster/home/dparri03/robotics/LBS-1a/sim/results/20260422_005700/random_random_200/tune_gait_rand_random.jsonl’
removed ‘tune_gait_rand_random.jsonl’

=== Done at Wed Apr 22 03:37:43 EDT 2026 ===
