=== Training config ===
  algo=random  init=random  gens=2500  popsize=48
  cpus=16  node=p1cmp065.pax.tufts.edu
  outdir=/cluster/home/dparri03/robotics/LBS-1a/sim/results/20260422_005700/random_random_2500
  workdir=/tmp/tmp.GyKOy4F4Wn
  started=Wed Apr 22 09:46:45 EDT 2026

Random search (105 params, popsize=48, gens=2500, 5 cycles/eval)
  workers: 15
gen 234  best=+18.3836  mean=-39.4923  pop_best=+18.3836
gen 235  best=+18.3836  mean=-45.4711  pop_best=+18.3836
gen 236  best=+18.3836  mean=-36.0354  pop_best=+18.3836
gen 237  best=+18.3836  mean=-30.8932  pop_best=+18.3836
gen 238  best=+48.4624  mean=-40.9724  pop_best=+48.4624  dist=+0.2992m phases=60/60 z=0.180
gen 239  best=+48.4624  mean=-33.2855  pop_best=+48.4624
gen 240  best=+48.4624  mean=-51.8404  pop_best=+48.4624
gen 241  best=+48.4624  mean=-30.9604  pop_best=+48.4624
gen 242  best=+48.4624  mean=-19.2272  pop_best=+48.4624
gen 243  best=+48.4624  mean=-35.3633  pop_best=+48.4624
gen 244  best=+48.4624  mean=-21.6340  pop_best=+48.4624
gen 245  best=+48.4624  mean=-23.1397  pop_best=+48.4624
gen 246  best=+48.4624  mean=-36.5141  pop_best=+48.4624
gen 247  best=+48.4624  mean=-37.6460  pop_best=+48.4624
gen 248  best=+48.4624  mean=-36.4751  pop_best=+48.4624
gen 249  best=+48.4624  mean=-34.4207  pop_best=+48.4624
gen 250  best=+48.4624  mean=-31.1768  pop_best=+48.4624
gen 251  best=+48.4624  mean=-42.3290  pop_best=+48.4624
gen 252  best=+48.4624  mean=-57.5422  pop_best=+48.4624
gen 253  best=+48.4624  mean=-41.1850  pop_best=+48.4624
gen 254  best=+48.4624  mean=-46.5325  pop_best=+48.4624
gen 255  best=+48.4624  mean=-45.2480  pop_best=+48.4624
gen 256  best=+48.4624  mean=-50.1430  pop_best=+48.4624
gen 257  best=+48.4624  mean=-44.0324  pop_best=+48.4624
gen 258  best=+48.4624  mean=-28.0861  pop_best=+48.4624
gen 259  best=+48.4624  mean=-42.5886  pop_best=+48.4624
gen 260  best=+48.4624  mean=-40.8039  pop_best=+48.4624
gen 261  best=+48.4624  mean=-57.9991  pop_best=+48.4624
gen 262  best=+48.4624  mean=-35.4260  pop_best=+48.4624
gen 263  best=+48.4624  mean=-17.6358  pop_best=+48.4624
gen 264  best=+48.4624  mean=-34.4855  pop_best=+48.4624
gen 265  best=+48.4624  mean=-50.0139  pop_best=+48.4624
gen 266  best=+48.4624  mean=-31.9477  pop_best=+48.4624
gen 267  best=+48.4624  mean=-57.4580  pop_best=+48.4624
gen 268  best=+48.4624  mean=-32.3858  pop_best=+48.4624
gen 269  best=+48.4624  mean=-56.0905  pop_best=+48.4624
gen 270  best=+48.4624  mean=-34.9411  pop_best=+48.4624
gen 271  best=+48.4624  mean=-50.6532  pop_best=+48.4624
gen 272  best=+48.4624  mean=-50.4853  pop_best=+48.4624
gen 273  best=+48.4624  mean=-31.9837  pop_best=+48.4624
gen 274  best=+48.4624  mean=-35.8663  pop_best=+48.4624
gen 275  best=+48.4624  mean=-36.1780  pop_best=+48.4624
gen 276  best=+48.4624  mean=-38.8118  pop_best=+48.4624
gen 277  best=+48.4624  mean=-56.4650  pop_best=+48.4624
gen 278  best=+48.4624  mean=-56.9549  pop_best=+48.4624
gen 279  best=+48.4624  mean=-32.6327  pop_best=+48.4624
gen 280  best=+48.4624  mean=-24.3442  pop_best=+48.4624
gen 281  best=+48.4624  mean=-57.6742  pop_best=+48.4624
gen 282  best=+48.4624  mean=-49.6024  pop_best=+48.4624
gen 283  best=+48.4624  mean=-37.6037  pop_best=+48.4624
gen 284  best=+48.4624  mean=-37.1413  pop_best=+48.4624
gen 285  best=+48.4624  mean=-28.5950  pop_best=+48.4624
gen 286  best=+48.4624  mean=-55.4514  pop_best=+48.4624
gen 287  best=+48.4624  mean=-33.4887  pop_best=+48.4624
gen 288  best=+48.4624  mean=-32.8501  pop_best=+48.4624
gen 289  best=+48.4624  mean=-65.5748  pop_best=+48.4624
